date,place,number
2021-03-23,上海,3
2021-03-23,天津,2
2021-03-23,广东,2
2021-03-23,内蒙古,1
2021-03-23,四川,1
2021-03-23,甘肃,1
2021-03-22,广东,4
2021-03-22,陕西,2
2021-03-22,上海,1
2021-03-22,四川,1
2021-03-22,云南,1
2021-03-21,上海,3
2021-03-21,福建,2
2021-03-21,辽宁,1
2021-03-21,广东,1
2021-03-20,上海,4
2021-03-20,甘肃,3
2021-03-20,天津,2
2021-03-20,内蒙古,1
2021-03-20,江西,1
2021-03-20,广东,1
2021-03-19,广东,2
2021-03-19,江苏,1
2021-03-19,浙江,1
2021-03-18,上海,5
2021-03-18,广东,3
2021-03-18,天津,1
2021-03-18,湖南,1
2021-03-17,天津,3
2021-03-17,上海,2
2021-03-17,广东,1
2021-03-16,四川,2
2021-03-16,上海,1
2021-03-16,福建,1
2021-03-15,四川,6
2021-03-15,上海,5
2021-03-15,天津,1
2021-03-15,江苏,1
2021-03-14,天津,1
2021-03-14,上海,1
2021-03-14,福建,1
2021-03-14,广东,1
2021-03-14,陕西,1
2021-03-13,上海,4
2021-03-13,福建,2
2021-03-13,内蒙古,1
2021-03-13,江苏,1
2021-03-13,广东,1
2021-03-13,陕西,1
2021-03-12,广东,3
2021-03-12,上海,2
2021-03-12,天津,1
2021-03-12,湖南,1
2021-03-11,上海,3
2021-03-11,广东,2
2021-03-11,四川,2
2021-03-11,河南,1
2021-03-11,陕西,1
2021-03-10,上海,5
2021-03-10,四川,3
2021-03-10,广东,2
2021-03-10,福建,1
2021-03-09,上海,2
2021-03-09,河南,1
2021-03-09,广东,1
2021-03-09,陕西,1
2021-03-08,四川,4
2021-03-08,上海,2
2021-03-08,广东,2
2021-03-07,上海,5
2021-03-07,广东,4
2021-03-07,河南,2
2021-03-07,四川,2
2021-03-07,陕西,2
2021-03-07,山西,1
2021-03-07,内蒙古,1
2021-03-07,江苏,1
2021-03-07,福建,1
2021-03-06,四川,7
2021-03-06,广东,4
2021-03-06,上海,2
2021-03-05,天津,3
2021-03-05,广东,3
2021-03-05,陕西,2
2021-03-05,上海,1
2021-03-05,四川,1
2021-03-04,上海,6
2021-03-04,天津,1
2021-03-04,湖南,1
2021-03-04,广东,1
2021-03-03,上海,5
2021-03-03,广东,3
2021-03-03,浙江,1
2021-03-03,四川,1
2021-03-02,四川,5
2021-03-02,广东,3
2021-03-02,云南,1
2021-03-02,陕西,1
2021-03-01,四川,4
2021-03-01,广东,3
2021-03-01,天津,1
2021-03-01,上海,1
2021-03-01,河南,1
2021-03-01,陕西,1
2021-02-28,四川,9
2021-02-28,广东,6
2021-02-28,北京,2
2021-02-28,上海,2
2021-02-27,福建,2
2021-02-27,云南,2
2021-02-27,天津,1
2021-02-27,广东,1
2021-02-26,广东,5
2021-02-26,陕西,2
2021-02-26,天津,1
2021-02-26,上海,1
2021-02-26,四川,1
2021-02-25,上海,4
2021-02-25,广东,2
2021-02-24,上海,3
2021-02-24,天津,1
2021-02-24,山东,1
2021-02-24,广东,1
2021-02-24,四川,1
2021-02-23,上海,3
2021-02-23,四川,2
2021-02-23,陕西,2
2021-02-23,天津,1
2021-02-23,江苏,1
2021-02-23,浙江,1
2021-02-23,山东,1
2021-02-23,广东,1
2021-02-22,广东,9
2021-02-22,山西,1
2021-02-21,广东,3
2021-02-21,上海,2
2021-02-21,四川,2
2021-02-21,北京,1
2021-02-21,天津,1
2021-02-21,福建,1
2021-02-21,湖南,1
2021-02-20,上海,3
2021-02-20,四川,2
2021-02-20,辽宁,1
2021-02-20,广东,1
2021-02-19,广东,3
2021-02-19,上海,2
2021-02-19,辽宁,1
2021-02-19,湖南,1
2021-02-19,四川,1
2021-02-18,上海,7
2021-02-18,天津,2
2021-02-18,湖南,1
2021-02-17,上海,4
2021-02-17,广东,3
2021-02-17,四川,2
2021-02-17,黑龙江,1
2021-02-17,湖北,1
2021-02-16,广东,6
2021-02-16,四川,1
2021-02-15,广东,8
2021-02-15,上海,5
2021-02-15,陕西,2
2021-02-15,四川,1
2021-02-14,广东,4
2021-02-14,天津,1
2021-02-14,上海,1
2021-02-14,河南,1
2021-02-14,陕西,1
2021-02-13,上海,2
2021-02-13,广东,2
2021-02-13,内蒙古,1
2021-02-13,四川,1
2021-02-13,陕西,1
2021-02-12,上海,3
2021-02-12,广东,3
2021-02-12,天津,1
2021-02-12,辽宁,1
2021-02-11,上海,7
2021-02-11,广东,2
2021-02-11,四川,2
2021-02-11,辽宁,1
2021-02-10,福建,1
2021-02-10,广东,1
2021-02-09,上海,6
2021-02-09,浙江,3
2021-02-09,天津,1
2021-02-09,江苏,1
2021-02-09,福建,1
2021-02-09,四川,1
2021-02-09,陕西,1
2021-02-08,广东,7
2021-02-08,上海,2
2021-02-08,江苏,1
2021-02-08,浙江,1
2021-02-08,福建,1
2021-02-08,山东,1
2021-02-08,四川,1
2021-02-07,上海,7
2021-02-07,广东,7
2021-02-06,上海,3
2021-02-06,北京,2
2021-02-06,江苏,2
2021-02-06,广东,2
2021-02-06,湖南,1
2021-02-05,上海,5
2021-02-05,天津,1
2021-02-05,广东,1
2021-02-05,陕西,1
2021-02-05,黑龙江,3
2021-02-05,吉林,1
2021-02-04,上海,9
2021-02-04,广东,2
2021-02-04,天津,1
2021-02-04,江苏,1
2021-02-04,福建,1
2021-02-04,黑龙江,5
2021-02-04,上海,1
2021-02-03,北京,5
2021-02-03,福建,3
2021-02-03,广东,3
2021-02-03,上海,2
2021-02-03,吉林,8
2021-02-03,黑龙江,4
2021-02-03,上海,3
2021-02-03,河北,2
2021-02-02,上海,4
2021-02-02,广东,2
2021-02-02,四川,2
2021-02-02,江苏,1
2021-02-02,陕西,1
2021-02-02,吉林,8
2021-02-02,黑龙江,6
2021-02-02,河北,1
2021-02-01,上海,7
2021-02-01,江苏,3
2021-02-01,辽宁,2
2021-02-01,广东,2
2021-02-01,北京,1
2021-02-01,山西,1
2021-02-01,四川,1
2021-02-01,陕西,1
2021-02-01,黑龙江,8
2021-02-01,吉林,4
2021-01-31,上海,4
2021-01-31,北京,2
2021-01-31,天津,1
2021-01-31,湖南,1
2021-01-31,广东,1
2021-01-31,黑龙江,22
2021-01-31,吉林,10
2021-01-31,河北,1
2021-01-30,上海,7
2021-01-30,辽宁,3
2021-01-30,广东,3
2021-01-30,福建,2
2021-01-30,陕西,2
2021-01-30,江苏,1
2021-01-30,四川,1
2021-01-30,吉林,63
2021-01-30,黑龙江,9
2021-01-30,河北,1
2021-12-09,上海,9
2021-12-09,福建,3
2021-12-09,湖南,2
2021-12-09,四川,1
2021-12-09,陕西,1
2021-12-09,黑龙江,27
2021-12-09,吉林,5
2021-12-09,上海,2
2021-12-09,北京,1
2021-12-09,河北,1
2021-12-08,上海,9
2021-12-08,广东,5
2021-12-08,天津,1
2021-12-08,湖南,1
2021-12-08,黑龙江,21
2021-12-08,吉林,13
2021-12-08,北京,1
2021-12-08,河北,1
2021-12-07,上海,7
2021-12-07,天津,2
2021-12-07,山西,1
2021-12-07,江苏,1
2021-12-07,广东,1
2021-12-07,四川,1
2021-12-07,黑龙江,28
2021-12-07,吉林,9
2021-12-07,河北,3
2021-12-07,陕西,1
2021-12-06,广东,7
2021-12-06,上海,5
2021-12-06,甘肃,4
2021-12-06,天津,2
2021-12-06,江苏,1
2021-12-06,四川,1
2021-12-06,黑龙江,29
2021-12-06,吉林,14
2021-12-06,河北,7
2021-12-06,北京,4
2021-12-06,上海,1
2021-12-05,上海,8
2021-12-05,广东,2
2021-12-05,福建,1
2021-12-05,湖南,1
2021-12-05,陕西,1
2021-12-05,黑龙江,53
2021-12-05,吉林,7
2021-12-05,河北,5
2021-12-05,北京,2
2021-12-05,上海,2
2021-12-04,天津,2
2021-12-04,上海,2
2021-12-04,广东,2
2021-12-04,福建,1
2021-12-04,吉林,67
2021-12-04,黑龙江,35
2021-12-04,河北,11
2021-12-04,北京,3
2021-12-04,上海,1
2021-12-03,广东,5
2021-12-03,上海,3
2021-12-03,山西,2
2021-12-03,天津,1
2021-12-03,辽宁,1
2021-12-03,江苏,1
2021-12-03,陕西,1
2021-12-03,甘肃,1
2021-12-03,黑龙江,29
2021-12-03,河北,19
2021-12-03,吉林,12
2021-12-03,上海,3
2021-12-03,北京,2
2021-12-02,上海,8
2021-12-02,山西,4
2021-12-02,江苏,2
2021-12-02,湖南,1
2021-12-02,广东,1
2021-12-02,四川,1
2021-12-02,黑龙江,56
2021-12-02,河北,15
2021-12-02,吉林,13
2021-12-02,北京,3
2021-12-02,上海,3
2021-12-01,广东,4
2021-12-01,上海,3
2021-12-01,安徽,1
2021-12-01,福建,1
2021-12-01,黑龙江,47
2021-12-01,吉林,19
2021-12-01,河北,18
2021-12-01,上海,6
2021-12-01,北京,3
2021-12-01,山西,1
2021-01-20,上海,9
2021-01-20,天津,5
2021-01-20,北京,1
2021-01-20,湖北,1
2021-01-20,广东,1
2021-01-20,广西,1
2021-01-20,黑龙江,68
2021-01-20,吉林,33
2021-01-20,河北,20
2021-01-20,北京,2
2021-01-20,山西,2
2021-01-20,山东,1
2021-11-09,上海,4
2021-11-09,广东,3
2021-11-09,浙江,2
2021-11-09,四川,2
2021-11-09,陕西,2
2021-11-09,天津,1
2021-11-09,福建,1
2021-11-09,吉林,46
2021-11-09,河北,19
2021-11-09,黑龙江,16
2021-11-09,北京,7
2021-11-08,上海,4
2021-11-08,浙江,3
2021-11-08,广东,3
2021-11-08,山西,1
2021-11-08,陕西,1
2021-11-08,吉林,43
2021-11-08,河北,35
2021-11-08,黑龙江,27
2021-11-08,北京,1
2021-11-07,上海,4
2021-11-07,陕西,3
2021-11-07,浙江,2
2021-11-07,湖南,2
2021-11-07,北京,1
2021-11-07,天津,1
2021-11-07,福建,1
2021-11-07,广东,1
2021-11-07,四川,1
2021-11-07,河北,54
2021-11-07,吉林,30
2021-11-07,黑龙江,7
2021-11-07,北京,2
2021-11-06,上海,4
2021-11-06,福建,2
2021-11-06,广东,2
2021-11-06,四川,2
2021-11-06,天津,1
2021-11-06,山东,1
2021-11-06,湖南,1
2021-11-06,河北,72
2021-11-06,黑龙江,12
2021-11-06,吉林,10
2021-11-06,北京,2
2021-11-05,上海,7
2021-11-05,天津,3
2021-11-05,四川,2
2021-11-05,湖南,1
2021-11-05,重庆,1
2021-11-05,陕西,1
2021-11-05,河北,90
2021-11-05,黑龙江,23
2021-11-05,北京,2
2021-11-04,广东,3
2021-11-04,上海,2
2021-11-04,江苏,1
2021-11-04,浙江,1
2021-11-04,四川,1
2021-11-04,陕西,1
2021-11-04,河北,90
2021-11-04,黑龙江,43
2021-11-04,广西,1
2021-11-04,陕西,1
2021-11-03,上海,8
2021-11-03,广东,3
2021-11-03,北京,1
2021-11-03,河南,1
2021-11-03,广西,1
2021-11-03,河北,81
2021-11-03,黑龙江,43
2021-11-02,上海,5
2021-11-02,广东,2
2021-11-02,福建,1
2021-11-02,河北,90
2021-11-02,黑龙江,16
2021-11-02,山西,1
2021-11-01,上海,4
2021-11-01,辽宁,3
2021-11-01,天津,2
2021-11-01,福建,1
2021-11-01,河南,1
2021-11-01,广东,1
2021-11-01,陕西,1
2021-11-01,河北,40
2021-11-01,北京,1
2021-11-01,黑龙江,1
2021-01-10,广东,7
2021-01-10,辽宁,4
2021-01-10,天津,2
2021-01-10,上海,2
2021-01-10,福建,1
2021-01-10,云南,1
2021-01-10,陕西,1
2021-01-10,河北,82
2021-01-10,辽宁,2
2021-01-10,北京,1
2021-01-09,福建,6
2021-01-09,天津,4
2021-01-09,上海,4
2021-01-09,辽宁,2
2021-01-09,浙江,2
2021-01-09,山西,1
2021-01-09,广东,1
2021-01-09,陕西,1
2021-01-09,河北,46
2021-01-09,北京,1
2021-01-09,辽宁,1
2021-01-08,上海,7
2021-01-08,辽宁,4
2021-01-08,广东,2
2021-01-08,江苏,1
2021-01-08,福建,1
2021-01-08,山东,1
2021-01-08,河北,14
2021-01-08,辽宁,3
2021-01-07,上海,8
2021-01-07,广东,3
2021-01-07,辽宁,1
2021-01-07,江苏,1
2021-01-07,福建,1
2021-01-07,河南,1
2021-01-07,湖南,1
2021-01-07,河北,33
2021-01-07,辽宁,2
2021-01-07,北京,1
2021-01-07,黑龙江,1
2021-01-06,上海,5
2021-01-06,河北,2
2021-01-06,广东,2
2021-01-06,陕西,2
2021-01-06,河北,51
2021-01-06,辽宁,1
2021-01-05,广东,3
2021-01-05,陕西,3
2021-01-05,上海,2
2021-01-05,天津,1
2021-01-05,河北,20
2021-01-05,北京,1
2021-01-05,辽宁,1
2021-01-05,黑龙江,1
2021-01-04,上海,6
2021-01-04,广东,4
2021-01-04,天津,1
2021-01-04,辽宁,1
2021-01-04,江苏,1
2021-01-04,福建,1
2021-01-04,河南,1
2021-01-04,四川,1
2021-01-04,河北,14
2021-01-04,辽宁,2
2021-01-04,北京,1
2021-01-03,陕西,6
2021-01-03,上海,4
2021-01-03,四川,3
2021-01-03,广东,2
2021-01-03,天津,1
2021-01-03,山西,1
2021-01-03,内蒙古,1
2021-01-03,辽宁,1
2021-01-03,福建,1
2021-01-03,辽宁,6
2021-01-03,河北,4
2021-01-03,北京,2
2021-01-03,黑龙江,1
2021-01-02,上海,6
2021-01-02,福建,2
2021-01-02,广东,2
2021-01-02,陕西,2
2021-01-02,北京,1
2021-01-02,天津,1
2021-01-02,内蒙古,1
2021-01-02,辽宁,1
2021-01-02,黑龙江,4
2021-01-02,辽宁,2
2021-01-02,北京,1
2021-01-02,河北,1
2021-01-01,上海,4
2021-01-01,天津,3
2021-01-01,广东,3
2021-01-01,辽宁,1
2021-01-01,福建,1
2021-01-01,山东,1
2021-01-01,陕西,1
2021-01-01,辽宁,7
2021-01-01,北京,1
2020-12-31,上海,5
2020-12-31,广东,2
2020-12-31,福建,1
2020-12-31,云南,1
2020-12-31,陕西,1
2020-12-31,北京,5
2020-12-31,辽宁,4
2020-12-30,上海,6
2020-12-30,内蒙古,3
2020-12-30,广东,3
2020-12-30,四川,2
2020-12-30,福建,1
2020-12-30,陕西,1
2020-12-30,辽宁,5
2020-12-30,北京,2
2020-12-30,黑龙江,2
2020-12-29,上海,7
2020-12-29,天津,3
2020-12-29,内蒙古,2
2020-12-29,福建,2
2020-12-29,浙江,1
2020-12-29,山东,1
2020-12-29,广东,1
2020-12-29,辽宁,5
2020-12-29,北京,1
2020-12-29,黑龙江,1
2020-12-28,上海,4
2020-12-28,四川,3
2020-12-28,天津,1
2020-12-28,内蒙古,1
2020-12-28,福建,1
2020-12-28,河南,1
2020-12-28,广东,1
2020-12-28,辽宁,8
2020-12-28,北京,7
2020-12-27,内蒙古,6
2020-12-27,浙江,3
2020-12-27,上海,2
2020-12-27,北京,1
2020-12-27,天津,1
2020-12-27,广东,1
2020-12-27,四川,1
2020-12-26,上海,4
2020-12-26,北京,3
2020-12-26,浙江,2
2020-12-26,安徽,1
2020-12-26,辽宁,7
2020-12-26,北京,5
2020-12-25,上海,5
2020-12-25,云南,2
2020-12-25,福建,1
2020-12-25,湖南,1
2020-12-25,广东,1
2020-12-25,四川,1
2020-12-25,陕西,1
2020-12-25,辽宁,6
2020-12-25,北京,2
2020-12-24,上海,4
2020-12-24,辽宁,1
2020-12-24,广东,1
2020-12-24,四川,1
2020-12-23,上海,6
2020-12-23,四川,2
2020-12-23,辽宁,1
2020-12-23,河南,1
2020-12-23,广东,1
2020-12-22,上海,12
2020-12-22,浙江,1
2020-12-22,广东,1
2020-12-21,上海,6
2020-12-21,广东,3
2020-12-21,内蒙古,2
2020-12-21,四川,2
2020-12-20,上海,8
2020-12-20,内蒙古,6
2020-12-20,广东,3
2020-12-20,福建,2
2020-12-20,山西,1
2020-12-20,四川,1
2020-12-20,辽宁,1
2020-12-20,黑龙江,1
2020-12-19,上海,11
2020-12-19,北京,2
2020-12-19,内蒙古,2
2020-12-19,陕西,2
2020-12-19,浙江,1
2020-12-19,福建,1
2020-12-19,河南,1
2020-12-19,广东,1
2020-12-19,四川,1
2020-12-18,上海,8
2020-12-18,山东,2
2020-12-18,天津,1
2020-12-18,浙江,1
2020-12-18,福建,1
2020-12-18,广东,1
2020-12-18,北京,2
2020-12-18,辽宁,1
2020-12-17,上海,4
2020-12-17,广东,4
2020-12-17,山西,1
2020-12-17,河南,1
2020-12-17,云南,1
2020-12-16,上海,6
2020-12-16,广东,1
2020-12-15,上海,3
2020-12-15,广东,3
2020-12-15,云南,2
2020-12-15,北京,1
2020-12-15,天津,1
2020-12-15,福建,1
2020-12-15,山东,1
2020-12-14,四川,5
2020-12-14,内蒙古,4
2020-12-14,上海,3
2020-12-14,北京,1
2020-12-14,广东,1
2020-12-14,黑龙江,2
2020-12-14,四川,1
2020-12-13,上海,7
2020-12-13,四川,3
2020-12-13,北京,1
2020-12-13,内蒙古,1
2020-12-13,浙江,1
2020-12-13,广东,1
2020-12-12,上海,10
2020-12-12,北京,2
2020-12-12,四川,2
2020-12-12,黑龙江,1
2020-12-12,江苏,1
2020-12-12,山东,1
2020-12-12,广东,1
2020-12-12,云南,1
2020-12-12,黑龙江,4
2020-12-12,四川,1
2020-12-11,上海,5
2020-12-11,江苏,2
2020-12-11,广东,2
2020-12-11,天津,1
2020-12-11,浙江,1
2020-12-11,福建,1
2020-12-11,云南,1
2020-12-10,上海,5
2020-12-10,广东,3
2020-12-10,云南,1
2020-12-10,四川,4
2020-12-10,黑龙江,2
2020-12-09,上海,9
2020-12-09,福建,1
2020-12-09,广东,1
2020-12-08,上海,6
2020-12-08,广东,2
2020-12-08,江苏,1
2020-12-08,广西,1
2020-12-08,四川,1
2020-12-07,上海,4
2020-12-07,广东,3
2020-12-07,四川,3
2020-12-06,上海,7
2020-12-06,广东,2
2020-12-06,浙江,1
2020-12-06,福建,1
2020-12-06,云南,1
2020-12-05,上海,6
2020-12-05,福建,6
2020-12-05,广东,2
2020-12-05,四川,1
2020-12-05,云南,1
2020-12-05,陕西,1
2020-12-04,上海,3
2020-12-04,河南,3
2020-12-04,广东,3
2020-12-04,四川,3
2020-12-04,北京,1
2020-12-04,山西,1
2020-12-04,福建,1
2020-12-03,上海,9
2020-12-03,福建,2
2020-12-03,河南,2
2020-12-03,山东,1
2020-12-03,广东,1
2020-12-02,上海,8
2020-12-02,广东,4
2020-12-02,山东,2
2020-12-02,湖北,1
2020-12-02,陕西,1
2020-12-01,广东,3
2020-12-01,上海,1
2020-12-01,福建,1
2020-12-01,河南,1
2020-12-01,陕西,1
2020-11-30,上海,2
2020-11-30,福建,2
2020-11-30,四川,2
2020-11-30,北京,1
2020-11-30,陕西,1
2020-11-29,上海,5
2020-11-29,山东,5
2020-11-29,四川,3
2020-11-29,山西,1
2020-11-29,广东,1
2020-11-28,福建,4
2020-11-28,上海,3
2020-11-28,四川,1
2020-11-28,云南,1
2020-11-28,陕西,1
2020-11-28,甘肃,1
2020-11-27,福建,2
2020-11-27,天津,1
2020-11-27,浙江,1
2020-11-27,四川,1
2020-11-27,云南,1
2020-11-26,上海,3
2020-11-26,福建,1
2020-11-26,陕西,1
2020-11-25,上海,5
2020-11-25,广东,4
2020-11-25,江苏,1
2020-11-25,福建,1
2020-11-25,四川,1
2020-11-24,上海,2
2020-11-24,福建,1
2020-11-24,广东,1
2020-11-24,陕西,1
2020-11-23,福建,4
2020-11-23,广东,4
2020-11-23,上海,3
2020-11-23,四川,3
2020-11-23,江苏,2
2020-11-23,陕西,2
2020-11-23,内蒙古,1
2020-11-23,河南,1
2020-11-23,天津,1
2020-11-23,上海,1
2020-11-22,广东,4
2020-11-22,北京,1
2020-11-22,天津,1
2020-11-22,上海,1
2020-11-22,福建,1
2020-11-22,陕西,1
2020-11-21,福建,4
2020-11-21,上海,3
2020-11-21,陕西,2
2020-11-21,北京,1
2020-11-21,天津,1
2020-11-21,浙江,1
2020-11-21,广西,1
2020-11-21,四川,1
2020-11-21,内蒙古,2
2020-11-21,上海,1
2020-11-20,天津,5
2020-11-20,上海,2
2020-11-19,福建,6
2020-11-19,上海,4
2020-11-19,陕西,3
2020-11-19,广东,2
2020-11-19,北京,1
2020-11-19,四川,1
2020-11-18,四川,3
2020-11-18,福建,2
2020-11-18,广西,2
2020-11-18,内蒙古,1
2020-11-18,上海,1
2020-11-18,浙江,1
2020-11-18,广东,1
2020-11-18,重庆,1
2020-11-17,上海,4
2020-11-17,山西,1
2020-11-17,辽宁,1
2020-11-17,广东,1
2020-11-16,四川,6
2020-11-16,上海,4
2020-11-16,广东,3
2020-11-16,天津,1
2020-11-16,山东,1
2020-11-15,四川,3
2020-11-15,广东,2
2020-11-15,山西,1
2020-11-15,江苏,1
2020-11-15,陕西,1
2020-11-14,广东,3
2020-11-14,云南,3
2020-11-14,天津,2
2020-11-14,陕西,2
2020-11-14,上海,1
2020-11-14,河南,1
2020-11-14,湖北,1
2020-11-13,广东,7
2020-11-13,上海,5
2020-11-13,天津,2
2020-11-13,辽宁,2
2020-11-13,福建,1
2020-11-13,陕西,1
2020-11-12,上海,3
2020-11-12,内蒙古,1
2020-11-12,河南,1
2020-11-12,四川,1
2020-11-12,陕西,1
2020-11-12,甘肃,1
2020-11-11,上海,4
2020-11-11,四川,4
2020-11-11,陕西,2
2020-11-11,天津,1
2020-11-11,内蒙古,1
2020-11-11,福建,1
2020-11-11,广东,1
2020-11-10,天津,6
2020-11-10,上海,5
2020-11-10,四川,2
2020-11-10,辽宁,1
2020-11-10,江苏,1
2020-11-10,陕西,1
2020-11-09,广东,6
2020-11-09,上海,4
2020-11-09,福建,3
2020-11-09,四川,3
2020-11-09,北京,2
2020-11-09,天津,1
2020-11-09,浙江,1
2020-11-09,陕西,1
2020-11-08,上海,13
2020-11-08,陕西,6
2020-11-08,广东,4
2020-11-08,四川,4
2020-11-08,内蒙古,2
2020-11-08,山西,1
2020-11-08,辽宁,1
2020-11-08,江苏,1
2020-11-07,陕西,9
2020-11-07,上海,7
2020-11-07,湖北,4
2020-11-07,浙江,2
2020-11-07,广东,2
2020-11-07,四川,2
2020-11-07,山西,1
2020-11-07,福建,1
2020-11-06,上海,11
2020-11-06,福建,9
2020-11-06,四川,4
2020-11-06,陕西,4
2020-11-06,内蒙古,3
2020-11-06,广东,2
2020-11-05,上海,15
2020-11-05,广东,3
2020-11-05,天津,2
2020-11-05,内蒙古,2
2020-11-05,福建,2
2020-11-05,四川,2
2020-11-05,山西,1
2020-11-05,辽宁,1
2020-11-05,浙江,1
2020-11-05,云南,1
2020-11-04,上海,8
2020-11-04,四川,4
2020-11-04,陕西,3
2020-11-04,河南,2
2020-11-04,北京,1
2020-11-04,内蒙古,1
2020-11-04,福建,1
2020-11-04,上海,2
2020-11-04,内蒙古,1
2020-11-03,上海,4
2020-11-03,广东,3
2020-11-03,四川,3
2020-11-03,内蒙古,2
2020-11-03,福建,2
2020-11-03,陕西,1
